pressure,temperature,dewpoint,u_wind,v_wind,altitude
623.7,5.23,-4.6,-25.509,-21.405,1198.2
623.2,5.15,-4.6,-25.957,-21.019,1204.6
622.6,5.07,-4.6,-26.112,-21.145,1211.0
622.2,4.99,-4.7,-26.19,-21.208,1217.3
621.7,4.91,-4.7,-26.268,-21.271,1223.7
621.2,4.83,-4.7,-26.345,-21.334,1230.1
620.7,4.75,-4.7,-26.501,-21.46,1236.5
620.2,4.68,-4.7,-26.578,-21.523,1242.8
619.7,4.62,-4.7,-26.656,-21.586,1249.2
619.3,4.55,-4.8,-26.812,-21.712,1255.6
618.8,4.49,-4.8,-26.889,-21.774,1261.9
618.3,4.43,-4.8,-26.889,-21.774,1268.3
617.8,4.36,-4.8,-26.889,-21.774,1274.7
617.3,4.3,-4.8,-26.889,-21.774,1281.1
616.8,4.24,-4.8,-26.889,-21.774,1287.4
616.4,4.17,-4.8,-26.889,-21.774,1293.8
615.9,4.11,-4.8,-26.889,-21.774,1300.2
615.4,4.04,-4.9,-26.889,-21.774,1306.6
614.9,3.98,-4.9,-26.505,-22.24,1312.9
614.4,3.92,-4.9,-26.582,-22.305,1319.3
614.0,3.85,-4.9,-26.582,-22.305,1325.7
613.5,3.79,-4.9,-26.582,-22.305,1332.0
613.0,3.73,-5.0,-26.582,-22.305,1338.4
612.5,3.67,-5.0,-26.582,-22.305,1344.8
612.0,3.61,-5.0,-26.582,-22.305,1351.2
611.6,3.55,-5.0,-26.582,-22.305,1357.5
611.1,3.5,-5.0,-26.582,-22.305,1363.9
610.6,3.44,-5.0,-26.188,-22.765,1370.3
610.2,3.38,-5.1,-26.188,-22.765,1376.6
609.7,3.33,-5.1,-26.264,-22.831,1383.0
609.3,3.27,-5.1,-26.264,-22.831,1389.1
608.8,3.21,-5.1,-26.339,-22.896,1394.5
608.4,3.16,-5.1,-26.566,-23.093,1399.8
608.0,3.1,-5.1,-26.307,-23.687,1405.2
607.6,3.04,-5.2,-26.456,-23.821,1410.5
607.2,2.98,-5.2,-26.679,-24.022,1415.9
606.8,2.93,-5.2,-26.402,-24.62,1421.2
606.4,2.87,-5.2,-26.548,-24.757,1426.5
606.0,2.81,-5.2,-26.768,-24.961,1431.9
605.6,2.76,-5.2,-26.914,-25.098,1437.2
605.2,2.7,-5.2,-26.616,-25.702,1442.6
604.8,2.64,-5.2,-26.831,-25.911,1447.9
604.4,2.59,-5.2,-26.975,-26.05,1453.3
604.0,2.53,-5.3,-27.119,-26.189,1458.6
603.6,2.47,-5.3,-26.87,-26.87,1464.0
603.2,2.42,-5.3,-27.011,-27.011,1469.3
